"","x","y"
"1",11.01602545,58.96177524
"2",11.01050902,58.97825004
"3",11.01034985,59.0099239
"4",11.02010452,59.04005868
"5",11.03879437,59.06563109
"6",11.06454433,59.08407555
"7",11.30228866,59.20261727
"8",11.331662,59.21195543
"9",11.36248393,59.21190474
"10",11.3918264,59.20247002
"11",11.41690188,59.18454756
"12",11.43532822,59.15983999
"13",11.52201704,58.99576406
"14",11.58817397,59.00172114
"15",11.70821522,59.24921997
"16",11.59453071,59.55802775
"17",11.58847304,59.58811589
"18",11.59182592,59.61862408
"19",11.6042735,59.64667847
"20",11.62464323,59.66963637
"21",11.65101631,59.68533517
"22",11.78941857,59.74107388
"23",11.7590807,59.78629338
"24",11.7461198,59.81401774
"25",11.74215081,59.84436362
"26",11.74754546,59.87448873
"27",11.76179849,59.9015715
"28",11.78357491,59.92307528
"29",11.81083509,59.93698597
"30",12.38717293,60.12684235
"31",12.49631947,60.39266277
"32",12.13874213,60.95998022
"33",12.126922,60.98677709
"34",12.12337248,61.01584922
"35",12.12839806,61.04470284
"36",12.14156764,61.07086292
"37",12.16175156,61.09208548
"38",12.18721846,61.10655008
"39",12.21578383,61.11301596
"40",12.65496488,61.14629651
"41",12.73867052,61.31494449
"42",12.09720907,61.62860173
"43",12.07364442,61.64464787
"44",12.05556531,61.66669139
"45",12.04444115,61.69294066
"46",12.04117608,61.72126222
"47",12.04603548,61.74935416
"48",12.2026495,62.23109925
"49",11.97684448,62.56713536
"50",11.96352373,62.59603884
"51",11.959959,62.62766392
"52",11.97334382,62.90887195
"53",11.97977591,62.9397012
"54",11.99547697,62.96700121
"55",12.01888976,62.98806433
"56",12.07049551,63.02147012
"57",11.90051577,63.20078918
"58",11.88232772,63.22760844
"59",11.87367053,63.25883552
"60",11.87545327,63.29119134
"61",11.88748875,63.3212783
"62",11.90851314,63.34593702
"63",12.09282372,63.5018249
"64",12.067595,63.54944541
"65",12.05793677,63.57647548
"66",12.05635474,63.60513562
"67",12.06297925,63.63306449
"68",12.07726451,63.65796102
"69",12.09803355,63.67777398
"70",12.63992465,64.06286004
"71",12.67651541,64.07904354
"72",13.2047375,64.19439999
"73",13.23732483,64.19606758
"74",13.94115388,64.11636977
"75",14.05086896,64.22587663
"76",14.029438,64.38395435
"77",13.62715632,64.48817197
"78",13.59810383,64.50089402
"79",13.57449638,64.52207387
"80",13.55870865,64.54958105
"81",13.55232871,64.58064863
"82",13.55599833,64.61215151
"83",13.56934837,64.64092083
"84",13.59103596,64.6640627
"85",14.2326133,65.16053094
"86",14.23560055,65.17127188
"87",14.52215985,65.81362788
"88",14.42231846,66.10184187
"89",14.4168114,66.13519836
"90",14.42273396,66.16848358
"91",14.43940918,66.1978931
"92",14.46493112,66.22006546
"93",14.49638266,66.23246639
"94",15.30868955,66.40196864
"95",15.28880077,66.43790386
"96",15.27811023,66.46735659
"97",15.2770589,66.49867185
"98",15.28575,66.52877527
"99",15.30333028,66.55471143
"100",15.3280738,66.57393406
"101",16.2920862,67.10454893
"102",16.29554605,67.16779141
"103",16.0336428,67.36779754
"104",16.01229129,67.39010037
"105",15.99876109,67.41785352
"106",15.99434204,67.44841127
"107",15.9994554,67.47886052
"108",16.01361373,67.50629855
"109",16.0354673,67.52810968
"110",16.0629328,67.54221464
"111",16.41334598,67.65811709
"112",16.65424067,67.97242219
"113",16.67395304,67.9918466
"114",16.69823446,68.00512432
"115",17.23538008,68.20827983
"116",17.2637945,68.2145035
"117",17.29279791,68.21228656
"118",17.88034627,68.07951271
"119",18.0509022,68.23487789
"120",18.02725581,68.52806305
"121",18.02923449,68.557437
"122",18.03968106,68.58496177
"123",18.05769006,68.60825168
"124",18.08170057,68.62528808
"125",18.10963151,68.63459436
"126",18.32727907,68.67282526
"127",18.35819107,68.67340251
"128",19.91316182,68.45976133
"129",19.91761447,68.4616778
"130",19.91241386,68.46309675
"131",19.88220505,68.4770824
"132",19.85826082,68.50020911
"133",19.84323462,68.52991406
"134",19.83879159,68.56290542
"135",19.84542411,68.5955272
"136",19.86239717,68.62416434
"137",19.88782988,68.64564336
"138",20.16812563,68.81141835
"139",19.99450646,68.97284643
"140",19.97610944,68.99588667
"141",19.965231,69.02329036
"142",19.96281681,69.0526753
"143",19.96907672,69.08148704
"144",19.98346657,69.10722097
"145",20.00473543,69.12764003
"146",20.03103441,69.14096919
"147",20.06007733,69.14604974
"148",20.5612122,69.15869165
"149",20.59998261,69.15192239
"150",22.08808648,68.57314309
"151",22.8699408,68.4778745
"152",22.90512482,68.46672594
"153",23.7237722,68.02747881
"154",23.74800416,68.00926228
"155",23.765664,67.98462167
"156",23.77512874,67.95582152
"157",23.77552852,67.92550865
"158",23.76682662,67.8964689
"159",23.74982276,67.87137112
"160",23.72607965,67.85252187
"161",23.60629952,67.78412536
"162",23.64675006,67.58807007
"163",23.64838911,67.55866714
"164",23.64409494,67.54110999
"165",23.78616973,67.52239151
"166",23.81469453,67.5141907
"167",23.83955585,67.49797861
"168",23.85856362,67.4751834
"169",23.87004343,67.44781314
"170",23.87298398,67.41827892
"171",23.86712625,67.38918245
"172",23.85298624,67.36308691
"173",23.70887563,67.1717454
"174",24.07202879,66.89293283
"175",24.09278877,66.87133785
"176",24.10622147,66.84456318
"177",24.11112152,66.81501136
"178",24.10704926,66.78533415
"179",24.09437008,66.75819454
"180",23.78939871,66.3001335
"181",24.22052168,65.88960356
"182",24.24024585,65.8633919
"183",24.25042678,65.83220789
"184",24.2499689,65.79940721
"185",24.23892149,65.76851953
"186",24.21847335,65.74286866
"187",24.19082489,65.72521486
"188",24.15895134,65.71745785
"189",23.3951928,65.66086441
"190",23.38191684,65.64498602
"191",23.35549649,65.62838141
"192",23.32524447,65.62072872
"193",23.10284762,65.60041164
"194",23.07723813,65.60136958
"195",23.05271308,65.60880501
"196",22.78994831,65.72705073
"197",22.7807056,65.70472865
"198",22.76080056,65.68119403
"199",22.73467357,65.66483955
"200",22.70480693,65.65721901
"201",22.67403824,65.65905644
"202",22.53289253,65.68978764
"203",22.51959394,65.69366501
"204",22.4656185,65.71355221
"205",22.46956391,65.68147257
"206",22.46788429,65.64736604
"207",22.46155779,65.63207813
"208",22.48283361,65.61699497
"209",22.50503122,65.59537299
"210",22.5195438,65.56799364
"211",22.52497781,65.53748602
"212",22.52081143,65.50677959
"213",22.50744475,65.47882291
"214",22.48616129,65.45630052
"215",22.45900479,65.44137511
"216",22.42858292,65.43547988
"217",22.39781693,65.43918093
"218",22.25806548,65.4786549
"219",22.25749691,65.47776669
"220",22.23311924,65.45784147
"221",22.20375466,65.44648337
"222",21.70524234,65.33971257
"223",21.80178172,65.27714776
"224",21.8243289,65.25711553
"225",21.8398778,65.23127181
"226",21.84701399,65.20196754
"227",21.84508831,65.17186841
"228",21.83427594,65.14371244
"229",21.81556045,65.12006089
"230",21.79064431,65.10306525
"231",21.76179406,65.09427156
"232",21.73163411,65.09447975
"233",21.63400201,65.11006369
"234",21.63725979,65.06318405
"235",21.63472964,65.03287481
"236",21.62320527,65.00472803
"237",21.60375276,64.98134744
"238",21.57817156,64.96489588
"239",21.54882806,64.95689518
"240",21.51843669,64.95808547
"241",21.51730706,64.95830484
"242",21.40475282,64.8958795
"243",21.39341252,64.89049118
"244",21.21288306,64.8182282
"245",21.66503742,64.51935894
"246",21.68767749,64.49878495
"247",21.70303827,64.47232916
"248",21.70968218,64.44246746
"249",21.70698745,64.41199451
"250",21.69520627,64.38376215
"251",21.6754412,64.36041254
"252",21.64954197,64.34413088
"253",21.03449672,64.07852203
"254",20.64569344,63.65957902
"255",20.62266345,63.64115673
"256",20.59526133,63.63025328
"257",20.56587042,63.62781701
"258",20.53704701,63.63405982
"259",20.51129806,63.64843873
"260",20.50595353,63.6540002
"261",20.48799008,63.6231347
"262",20.46597211,63.59694139
"263",20.43641244,63.57970459
"264",20.40277217,63.57344254
"265",20.04483294,63.56910961
"266",19.70458238,63.34746178
"267",19.6763015,63.33477246
"268",19.64549345,63.33135311
"269",19.61511837,63.33753228
"270",19.58809478,63.35271624
"271",19.46129671,63.45266386
"272",19.33994599,63.39079533
"273",19.34824197,63.35940866
"274",19.35141389,63.32841194
"275",19.34489162,63.29794362
"276",19.32930838,63.27096177
"277",19.30617709,63.25008592
"278",19.08169741,63.10373124
"279",19.04860738,63.08984409
"280",19.01274536,63.0885331
"281",18.81134169,63.11770992
"282",18.810924,63.11651363
"283",18.79353631,63.09274181
"284",18.76997776,63.07506623
"285",18.64411792,63.00697987
"286",18.64542759,63.00514324
"287",18.65482212,62.97437386
"288",18.65396039,62.94221381
"289",18.64293159,62.91199168
"290",18.6228772,62.8868355
"291",18.5958729,62.86934896
"292",18.15264323,62.67507787
"293",18.1420359,62.67210918
"294",18.15599598,62.64709327
"295",18.16194797,62.61552429
"296",18.15758293,62.58369706
"297",18.14335134,62.55489622
"298",18.12072194,62.5320941
"299",18.09203014,62.51764393
"300",17.8182183,62.43137368
"301",17.82441313,62.40873639
"302",17.82282529,62.37717152
"303",17.81146608,62.34767863
"304",17.79147015,62.32320364
"305",17.76483479,62.30619129
"306",17.73566364,62.29871091
"307",17.74075037,62.29373858
"308",17.75560977,62.26385995
"309",17.7598112,62.23075584
"310",17.75288683,62.19811251
"311",17.73560772,62.1695649
